combo,disc,id,n,dens,diameter,ev1,ev2,spec_gap,mgap,modularity,core,assort,ccoef,glob_eff
betweenness-eigenvector,67,movie_338,42,0.13008130081300812,5,8.422333835139176,5.1413129995850095,0.6104380448723986,0.35714285714285715,0.42095822704081637,0.5249408437851429,-0.24470434094994303,0.3745819397993311,0.7976853537153743
closeness-eigenvector,54,movie_338,42,0.13008130081300812,5,8.422333835139176,5.1413129995850095,0.6104380448723986,0.35714285714285715,0.42095822704081637,0.5249408437851429,-0.24470434094994303,0.3745819397993311,0.7976853537153743
degree-betweenness,11,movie_339,21,0.33333333333333337,2,9.095163507599853,3.659120235981742,0.40231494826060105,0.14285714285714285,0.23132653061224487,0.77748724919978,-0.42517723994621703,0.587378640776699,0.8735516293786971
degree-closeness,0,movie_339,21,0.33333333333333337,2,9.095163507599853,3.659120235981742,0.40231494826060105,0.14285714285714285,0.23132653061224487,0.77748724919978,-0.42517723994621703,0.587378640776699,0.8735516293786971
degree-eigenvector,1,movie_339,21,0.33333333333333337,2,9.095163507599853,3.659120235981742,0.40231494826060105,0.14285714285714285,0.23132653061224487,0.77748724919978,-0.42517723994621703,0.587378640776699,0.8735516293786971
betweenness-closeness,11,movie_339,21,0.33333333333333337,2,9.095163507599853,3.659120235981742,0.40231494826060105,0.14285714285714285,0.23132653061224487,0.77748724919978,-0.42517723994621703,0.587378640776699,0.8735516293786971
betweenness-eigenvector,18,movie_339,21,0.33333333333333337,2,9.095163507599853,3.659120235981742,0.40231494826060105,0.14285714285714285,0.23132653061224487,0.77748724919978,-0.42517723994621703,0.587378640776699,0.8735516293786971
closeness-eigenvector,1,movie_339,21,0.33333333333333337,2,9.095163507599853,3.659120235981742,0.40231494826060105,0.14285714285714285,0.23132653061224487,0.77748724919978,-0.42517723994621703,0.587378640776699,0.8735516293786971
degree-betweenness,24,movie_34,24,0.3840579710144928,3,11.993700627783491,3.469640826046038,0.2892885968829829,0.12264150943396226,0.2102616589533641,0.8334290033104963,0.04986871637495172,0.7546337157987644,0.9208749492466598
degree-closeness,13,movie_34,24,0.3840579710144928,3,11.993700627783491,3.469640826046038,0.2892885968829829,0.12264150943396226,0.2102616589533641,0.8334290033104963,0.04986871637495172,0.7546337157987644,0.9208749492466598
degree-eigenvector,11,movie_34,24,0.3840579710144928,3,11.993700627783491,3.469640826046038,0.2892885968829829,0.12264150943396226,0.2102616589533641,0.8334290033104963,0.04986871637495172,0.7546337157987644,0.9208749492466598
betweenness-closeness,18,movie_34,24,0.3840579710144928,3,11.993700627783491,3.469640826046038,0.2892885968829829,0.12264150943396226,0.2102616589533641,0.8334290033104963,0.04986871637495172,0.7546337157987644,0.9208749492466598
betweenness-eigenvector,32,movie_34,24,0.3840579710144928,3,11.993700627783491,3.469640826046038,0.2892885968829829,0.12264150943396226,0.2102616589533641,0.8334290033104963,0.04986871637495172,0.7546337157987644,0.9208749492466598
closeness-eigenvector,13,movie_34,24,0.3840579710144928,3,11.993700627783491,3.469640826046038,0.2892885968829829,0.12264150943396226,0.2102616589533641,0.8334290033104963,0.04986871637495172,0.7546337157987644,0.9208749492466598
degree-betweenness,20,movie_340,35,0.1411764705882353,3,8.482153636909844,3.6634697344613856,0.43190325137709173,0.21428571428571427,0.331703514739229,0.7117412522405703,-0.4006597906783537,0.3065442020665901,0.7066124252731396
degree-closeness,18,movie_340,35,0.1411764705882353,3,8.482153636909844,3.6634697344613856,0.43190325137709173,0.21428571428571427,0.331703514739229,0.7117412522405703,-0.4006597906783537,0.3065442020665901,0.7066124252731396
degree-eigenvector,12,movie_340,35,0.1411764705882353,3,8.482153636909844,3.6634697344613856,0.43190325137709173,0.21428571428571427,0.331703514739229,0.7117412522405703,-0.4006597906783537,0.3065442020665901,0.7066124252731396
betweenness-closeness,22,movie_340,35,0.1411764705882353,3,8.482153636909844,3.6634697344613856,0.43190325137709173,0.21428571428571427,0.331703514739229,0.7117412522405703,-0.4006597906783537,0.3065442020665901,0.7066124252731396
betweenness-eigenvector,48,movie_340,35,0.1411764705882353,3,8.482153636909844,3.6634697344613856,0.43190325137709173,0.21428571428571427,0.331703514739229,0.7117412522405703,-0.4006597906783537,0.3065442020665901,0.7066124252731396
closeness-eigenvector,28,movie_340,35,0.1411764705882353,3,8.482153636909844,3.6634697344613856,0.43190325137709173,0.21428571428571427,0.331703514739229,0.7117412522405703,-0.4006597906783537,0.3065442020665901,0.7066124252731396
degree-betweenness,33,movie_341,31,0.16989247311827957,5,8.335233346604024,3.5912542646147534,0.43085227674854687,0.22784810126582278,0.3305560006409229,0.7090578159410718,-0.32401425145472174,0.4278996865203762,0.7278195686876902
degree-closeness,21,movie_341,31,0.16989247311827957,5,8.335233346604024,3.5912542646147534,0.43085227674854687,0.22784810126582278,0.3305560006409229,0.7090578159410718,-0.32401425145472174,0.4278996865203762,0.7278195686876902
