combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
betweenness-eigenvector,1056313,6,5000,0.002499699939987998,6,13.53736253691223,7.328317161014182,0.9903649167733675,0.0025
closeness-eigenvector,259435,6,5000,0.002499699939987998,6,13.53736253691223,7.328317161014182,0.9903649167733675,0.0025
degree-betweenness,15725,6,5000,0.0050229245849169836,4,26.111019039416586,10.168303731590637,0.9872558702647592,0.005
degree-closeness,474004,6,5000,0.0050229245849169836,4,26.111019039416586,10.168303731590637,0.9872558702647592,0.005
degree-eigenvector,467787,6,5000,0.0050229245849169836,4,26.111019039416586,10.168303731590637,0.9872558702647592,0.005
betweenness-closeness,867906,6,5000,0.0050229245849169836,4,26.111019039416586,10.168303731590637,0.9872558702647592,0.005
betweenness-eigenvector,924119,6,5000,0.0050229245849169836,4,26.111019039416586,10.168303731590637,0.9872558702647592,0.005
closeness-eigenvector,318644,6,5000,0.0050229245849169836,4,26.111019039416586,10.168303731590637,0.9872558702647592,0.005
degree-betweenness,163189,6,5000,0.0012319263852770554,9,7.313960125556519,5.38055137711736,0.9923356716030137,0.00125
degree-closeness,954038,6,5000,0.0012319263852770554,9,7.313960125556519,5.38055137711736,0.9923356716030137,0.00125
degree-eigenvector,1019349,6,5000,0.0012319263852770554,9,7.313960125556519,5.38055137711736,0.9923356716030137,0.00125
betweenness-closeness,1269333,6,5000,0.0012319263852770554,9,7.313960125556519,5.38055137711736,0.9923356716030137,0.00125
betweenness-eigenvector,1367978,6,5000,0.0012319263852770554,9,7.313960125556519,5.38055137711736,0.9923356716030137,0.00125
closeness-eigenvector,320430,6,5000,0.0012319263852770554,9,7.313960125556519,5.38055137711736,0.9923356716030137,0.00125
degree-betweenness,39196,6,5000,0.002503140628125625,6,13.628006115445165,7.337258174052645,0.9905379918805741,0.0025
degree-closeness,656077,6,5000,0.002503140628125625,6,13.628006115445165,7.337258174052645,0.9905379918805741,0.0025
degree-eigenvector,677746,6,5000,0.002503140628125625,6,13.628006115445165,7.337258174052645,0.9905379918805741,0.0025
betweenness-closeness,971404,6,5000,0.002503140628125625,6,13.628006115445165,7.337258174052645,0.9905379918805741,0.0025
betweenness-eigenvector,1033306,6,5000,0.002503140628125625,6,13.628006115445165,7.337258174052645,0.9905379918805741,0.0025
closeness-eigenvector,249904,6,5000,0.002503140628125625,6,13.628006115445165,7.337258174052645,0.9905379918805741,0.0025
degree-betweenness,17025,6,5000,0.005050370074014803,4,26.257773488399035,10.211323138139411,0.9868181314067526,0.005
degree-closeness,472803,6,5000,0.005050370074014803,4,26.257773488399035,10.211323138139411,0.9868181314067526,0.005
degree-eigenvector,476566,6,5000,0.005050370074014803,4,26.257773488399035,10.211323138139411,0.9868181314067526,0.005
betweenness-closeness,863345,6,5000,0.005050370074014803,4,26.257773488399035,10.211323138139411,0.9868181314067526,0.005
betweenness-eigenvector,930690,6,5000,0.005050370074014803,4,26.257773488399035,10.211323138139411,0.9868181314067526,0.005
closeness-eigenvector,316677,6,5000,0.005050370074014803,4,26.257773488399035,10.211323138139411,0.9868181314067526,0.005
degree-betweenness,142850,6,5000,0.00124624924984997,9,7.379329454524932,5.393486639780939,0.9924237560192616,0.00125
degree-closeness,934534,6,5000,0.00124624924984997,9,7.379329454524932,5.393486639780939,0.9924237560192616,0.00125
degree-eigenvector,992944,6,5000,0.00124624924984997,9,7.379329454524932,5.393486639780939,0.9924237560192616,0.00125
betweenness-closeness,1242555,6,5000,0.00124624924984997,9,7.379329454524932,5.393486639780939,0.9924237560192616,0.00125
betweenness-eigenvector,1327023,6,5000,0.00124624924984997,9,7.379329454524932,5.393486639780939,0.9924237560192616,0.00125
closeness-eigenvector,303140,6,5000,0.00124624924984997,9,7.379329454524932,5.393486639780939,0.9924237560192616,0.00125
degree-betweenness,38010,6,5000,0.002489137827565513,6,13.536540343256384,7.318866397985751,0.9911276841969912,0.0025
degree-closeness,626432,6,5000,0.002489137827565513,6,13.536540343256384,7.318866397985751,0.9911276841969912,0.0025
degree-eigenvector,653763,6,5000,0.002489137827565513,6,13.536540343256384,7.318866397985751,0.9911276841969912,0.0025
betweenness-closeness,971010,6,5000,0.002489137827565513,6,13.536540343256384,7.318866397985751,0.9911276841969912,0.0025
betweenness-eigenvector,1043410,6,5000,0.002489137827565513,6,13.536540343256384,7.318866397985751,0.9911276841969912,0.0025
closeness-eigenvector,257025,6,5000,0.002489137827565513,6,13.536540343256384,7.318866397985751,0.9911276841969912,0.0025
degree-betweenness,15640,6,5000,0.004986597319463893,4,25.934094574567304,10.133596062356597,0.9875641848523748,0.005
degree-closeness,471310,6,5000,0.004986597319463893,4,25.934094574567304,10.133596062356597,0.9875641848523748,0.005
degree-eigenvector,467464,6,5000,0.004986597319463893,4,25.934094574567304,10.133596062356597,0.9875641848523748,0.005
betweenness-closeness,864726,6,5000,0.004986597319463893,4,25.934094574567304,10.133596062356597,0.9875641848523748,0.005
betweenness-eigenvector,922260,6,5000,0.004986597319463893,4,25.934094574567304,10.133596062356597,0.9875641848523748,0.005
closeness-eigenvector,308854,6,5000,0.004986597319463893,4,25.934094574567304,10.133596062356597,0.9875641848523748,0.005
degree-betweenness,156514,6,5000,0.0012377675535107022,10,7.3525445253629,5.3746849002982096,0.9921779041954878,0.00125
degree-closeness,927262,6,5000,0.0012377675535107022,10,7.3525445253629,5.3746849002982096,0.9921779041954878,0.00125
degree-eigenvector,979917,6,5000,0.0012377675535107022,10,7.3525445253629,5.3746849002982096,0.9921779041954878,0.00125
betweenness-closeness,1245162,6,5000,0.0012377675535107022,10,7.3525445253629,5.3746849002982096,0.9921779041954878,0.00125
betweenness-eigenvector,1319898,6,5000,0.0012377675535107022,10,7.3525445253629,5.3746849002982096,0.9921779041954878,0.00125
closeness-eigenvector,302642,6,5000,0.0012377675535107022,10,7.3525445253629,5.3746849002982096,0.9921779041954878,0.00125
degree-betweenness,45177,6,5000,0.0025001000200040005,6,13.59073679845561,7.384719598487321,0.9897903664586334,0.0025
degree-closeness,683142,6,5000,0.0025001000200040005,6,13.59073679845561,7.384719598487321,0.9897903664586334,0.0025
degree-eigenvector,720920,6,5000,0.0025001000200040005,6,13.59073679845561,7.384719598487321,0.9897903664586334,0.0025
betweenness-closeness,1019493,6,5000,0.0025001000200040005,6,13.59073679845561,7.384719598487321,0.9897903664586334,0.0025
betweenness-eigenvector,1103076,6,5000,0.0025001000200040005,6,13.59073679845561,7.384719598487321,0.9897903664586334,0.0025
closeness-eigenvector,274652,6,5000,0.0025001000200040005,6,13.59073679845561,7.384719598487321,0.9897903664586334,0.0025
degree-betweenness,21492,6,5000,0.005005641128225645,4,26.054443498237344,10.151883678399777,0.9869561047348061,0.005
degree-closeness,458502,6,5000,0.005005641128225645,4,26.054443498237344,10.151883678399777,0.9869561047348061,0.005
degree-eigenvector,464027,6,5000,0.005005641128225645,4,26.054443498237344,10.151883678399777,0.9869561047348061,0.005
betweenness-closeness,854980,6,5000,0.005005641128225645,4,26.054443498237344,10.151883678399777,0.9869561047348061,0.005
betweenness-eigenvector,926612,6,5000,0.005005641128225645,4,26.054443498237344,10.151883678399777,0.9869561047348061,0.005
closeness-eigenvector,320800,6,5000,0.005005641128225645,4,26.054443498237344,10.151883678399777,0.9869561047348061,0.005
degree-betweenness,157444,6,5000,0.0012408081616323264,9,7.345877190523961,5.429699004476153,0.9921970722899336,0.00125
